Orthogroup	Arabidopsis_thaliana.TAIR10.pep.all	Mus_musculus-Cilia_proteome	Total
OG0000302	11	13	24
OG0000872	2	10	12
OG0000997	2	9	11
OG0001141	2	8	10
OG0001013	3	7	10
OG0001331	2	7	9
OG0001469	1	7	8
OG0001572	1	7	8
OG0001133	4	6	10
OG0001861	1	6	7
OG0000987	6	5	11
OG0000995	6	5	11
OG0001118	5	5	10
OG0001388	3	5	8
OG0001797	2	5	7
OG0001866	2	5	7
OG0001916	1	5	6
OG0001947	1	5	6
OG0002058	1	5	6
OG0002169	1	5	6
OG0002253	1	5	6
OG0002292	1	5	6
OG0002313	1	5	6
OG0002317	1	5	6
OG0002318	1	5	6
OG0002330	1	5	6
OG0000775	9	4	13
OG0000947	7	4	11
OG0001003	6	4	10
OG0001071	6	4	10
OG0001180	5	4	9
OG0001310	5	4	9
OG0001551	4	4	8
OG0001570	4	4	8
OG0001720	3	4	7
OG0001774	3	4	7
OG0001878	3	4	7
OG0001882	3	4	7
OG0002118	2	4	6
OG0002133	2	4	6
OG0002287	2	4	6
OG0002297	2	4	6
OG0002316	2	4	6
OG0002389	1	4	5
OG0002542	1	4	5
OG0002627	1	4	5
OG0002697	1	4	5
OG0002723	1	4	5
OG0002759	1	4	5
OG0002769	1	4	5
OG0002780	1	4	5
OG0002871	1	4	5
OG0002884	1	4	5
OG0002907	1	4	5
OG0002909	1	4	5
OG0002913	1	4	5
OG0002917	1	4	5
OG0002921	1	4	5
OG0000600	12	3	15
OG0000994	8	3	11
OG0001204	6	3	9
OG0001224	6	3	9
OG0001321	6	3	9
OG0001529	5	3	8
OG0001530	5	3	8
OG0001627	4	3	7
OG0001811	4	3	7
OG0001835	4	3	7
OG0001836	4	3	7
OG0002136	3	3	6
OG0002237	3	3	6
OG0002280	3	3	6
OG0002322	3	3	6
OG0002333	3	3	6
OG0002515	2	3	5
OG0002633	2	3	5
OG0002667	2	3	5
OG0002724	2	3	5
OG0002727	2	3	5
OG0002770	2	3	5
OG0002784	2	3	5
OG0002791	2	3	5
OG0002834	2	3	5
OG0002895	2	3	5
OG0002899	2	3	5
OG0002915	2	3	5
OG0003101	1	3	4
OG0003232	1	3	4
OG0003250	1	3	4
OG0003311	1	3	4
OG0003451	1	3	4
OG0003472	1	3	4
OG0003529	1	3	4
OG0003549	1	3	4
OG0003550	1	3	4
OG0003647	1	3	4
OG0003648	1	3	4
OG0003659	1	3	4
OG0003674	1	3	4
OG0003676	1	3	4
OG0003696	1	3	4
OG0003699	1	3	4
OG0003733	1	3	4
OG0003736	1	3	4
OG0003756	1	3	4
OG0003760	1	3	4
OG0003766	1	3	4
OG0003778	1	3	4
OG0003783	1	3	4
OG0003794	1	3	4
OG0003814	1	3	4
OG0003833	1	3	4
OG0000223	25	2	27
OG0000442	17	2	19
OG0000533	14	2	16
OG0000750	11	2	13
OG0000760	11	2	13
OG0000841	10	2	12
OG0000973	9	2	11
OG0000985	9	2	11
OG0001187	7	2	9
OG0001312	7	2	9
OG0001323	7	2	9
OG0001367	6	2	8
OG0001444	6	2	8
OG0001451	6	2	8
OG0001486	6	2	8
OG0001538	6	2	8
OG0001721	5	2	7
OG0001722	5	2	7
OG0001723	5	2	7
OG0001803	5	2	7
OG0001821	5	2	7
OG0001854	5	2	7
OG0001881	5	2	7
OG0001884	5	2	7
OG0001960	4	2	6
OG0002074	4	2	6
OG0002093	4	2	6
OG0002173	4	2	6
OG0002258	4	2	6
OG0002286	4	2	6
OG0002296	4	2	6
OG0002323	4	2	6
OG0002395	3	2	5
OG0002396	3	2	5
OG0002489	3	2	5
OG0002526	3	2	5
OG0002568	3	2	5
OG0002603	3	2	5
OG0002645	3	2	5
OG0002668	3	2	5
OG0002684	3	2	5
OG0002701	3	2	5
OG0002730	3	2	5
OG0002763	3	2	5
OG0002771	3	2	5
OG0002773	3	2	5
OG0002820	3	2	5
OG0002840	3	2	5
OG0002849	3	2	5
OG0002851	3	2	5
OG0002872	3	2	5
OG0002896	3	2	5
OG0002908	3	2	5
OG0002996	2	2	4
OG0002999	2	2	4
OG0003016	2	2	4
OG0003104	2	2	4
OG0003105	2	2	4
OG0003113	2	2	4
OG0003127	2	2	4
OG0003152	2	2	4
OG0003174	2	2	4
OG0003194	2	2	4
OG0003197	2	2	4
OG0003221	2	2	4
OG0003229	2	2	4
OG0003248	2	2	4
OG0003259	2	2	4
OG0003282	2	2	4
OG0003294	2	2	4
OG0003326	2	2	4
OG0003347	2	2	4
OG0003483	2	2	4
OG0003489	2	2	4
OG0003552	2	2	4
OG0003593	2	2	4
OG0003597	2	2	4
OG0003631	2	2	4
OG0003645	2	2	4
OG0003678	2	2	4
OG0003684	2	2	4
OG0003693	2	2	4
OG0003694	2	2	4
OG0003727	2	2	4
OG0003738	2	2	4
OG0003765	2	2	4
OG0003775	2	2	4
OG0003793	2	2	4
OG0003798	2	2	4
OG0003807	2	2	4
OG0003810	2	2	4
OG0003812	2	2	4
OG0003823	2	2	4
OG0003957	1	2	3
OG0003974	1	2	3
OG0003977	1	2	3
OG0004004	1	2	3
OG0004014	1	2	3
OG0004056	1	2	3
OG0004065	1	2	3
OG0004115	1	2	3
OG0004127	1	2	3
OG0004156	1	2	3
OG0004203	1	2	3
OG0004216	1	2	3
OG0004224	1	2	3
OG0004233	1	2	3
OG0004281	1	2	3
OG0004286	1	2	3
OG0004289	1	2	3
OG0004302	1	2	3
OG0004319	1	2	3
OG0004324	1	2	3
OG0004387	1	2	3
OG0004396	1	2	3
OG0004404	1	2	3
OG0004464	1	2	3
OG0004477	1	2	3
OG0004501	1	2	3
OG0004511	1	2	3
OG0004592	1	2	3
OG0004621	1	2	3
OG0004639	1	2	3
OG0004712	1	2	3
OG0004723	1	2	3
OG0004774	1	2	3
OG0004790	1	2	3
OG0004794	1	2	3
OG0004796	1	2	3
OG0004812	1	2	3
OG0004821	1	2	3
OG0004822	1	2	3
OG0004834	1	2	3
OG0004871	1	2	3
OG0004873	1	2	3
OG0004897	1	2	3
OG0004928	1	2	3
OG0004938	1	2	3
OG0004973	1	2	3
OG0004984	1	2	3
OG0004985	1	2	3
OG0005015	1	2	3
OG0005017	1	2	3
OG0005022	1	2	3
OG0005024	1	2	3
OG0005033	1	2	3
OG0005039	1	2	3
OG0005049	1	2	3
OG0005057	1	2	3
OG0005067	1	2	3
OG0005073	1	2	3
OG0005079	1	2	3
OG0005091	1	2	3
OG0005101	1	2	3
OG0005104	1	2	3
OG0005122	1	2	3
OG0005126	1	2	3
OG0005128	1	2	3
OG0005137	1	2	3
OG0005150	1	2	3
OG0005178	1	2	3
OG0005179	1	2	3
OG0005180	1	2	3
OG0005202	1	2	3
OG0000056	45	1	46
OG0000080	39	1	40
OG0000091	38	1	39
OG0000097	37	1	38
OG0000170	30	1	31
OG0000199	28	1	29
OG0000287	23	1	24
OG0000372	20	1	21
OG0000428	18	1	19
OG0000432	18	1	19
OG0000443	18	1	19
OG0000468	17	1	18
OG0000477	17	1	18
OG0000481	17	1	18
OG0000488	17	1	18
OG0000615	14	1	15
OG0000627	13	1	14
OG0000629	13	1	14
OG0000699	13	1	14
OG0000704	12	1	13
OG0000736	12	1	13
OG0000743	12	1	13
OG0000808	11	1	12
OG0000844	11	1	12
OG0000885	10	1	11
OG0000913	10	1	11
OG0000935	10	1	11
OG0000983	10	1	11
OG0000986	10	1	11
OG0000989	10	1	11
OG0000991	10	1	11
OG0001016	9	1	10
OG0001019	9	1	10
OG0001049	9	1	10
OG0001052	9	1	10
OG0001090	9	1	10
OG0001102	9	1	10
OG0001112	9	1	10
OG0001144	9	1	10
OG0001151	8	1	9
OG0001152	8	1	9
OG0001211	8	1	9
OG0001241	8	1	9
OG0001243	8	1	9
OG0001255	8	1	9
OG0001257	8	1	9
OG0001258	8	1	9
OG0001290	8	1	9
OG0001292	8	1	9
OG0001317	8	1	9
OG0001360	7	1	8
OG0001378	7	1	8
OG0001413	7	1	8
OG0001441	7	1	8
OG0001443	7	1	8
OG0001462	7	1	8
OG0001476	7	1	8
OG0001495	7	1	8
OG0001540	7	1	8
OG0001543	7	1	8
OG0001655	6	1	7
OG0001657	6	1	7
OG0001696	6	1	7
OG0001708	6	1	7
OG0001785	6	1	7
OG0001798	6	1	7
OG0001807	6	1	7
OG0001831	6	1	7
OG0001838	6	1	7
OG0001840	6	1	7
OG0001859	6	1	7
OG0001873	6	1	7
OG0001890	6	1	7
OG0001917	5	1	6
OG0001940	5	1	6
OG0001941	5	1	6
OG0001945	5	1	6
OG0001968	5	1	6
OG0002003	5	1	6
OG0002039	5	1	6
OG0002040	5	1	6
OG0002071	5	1	6
OG0002080	5	1	6
OG0002094	5	1	6
OG0002099	5	1	6
OG0002130	5	1	6
OG0002145	5	1	6
