Orthogroup	Arabidopsis_thaliana.TAIR10.pep.all	Mus_musculus-Cilia_proteome
OG0007621	AT3G07950.1 pep chromosome_TAIR10_3_2531773_2534545_1 gene_AT3G07950 transcript_AT3G07950.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RBL19 description_Rhomboid-like protein 19 [Source_UniProtKB/Swiss-Prot;Acc_Q8LF05]	
OG0007622	AT1G58983.1 pep chromosome_TAIR10_1_21805932_21807496_-1 gene_AT1G58983 transcript_AT1G58983.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPS2B description_40S ribosomal protein S2-2 [Source_UniProtKB/Swiss-Prot;Acc_Q93VB8]	
OG0007623	AT5G15008.1 pep chromosome_TAIR10_5_4856975_4857139_-1 gene_AT5G15008 transcript_AT5G15008.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT5G15008]	
OG0007624	AT3G18310.1 pep chromosome_TAIR10_3_6284356_6287225_-1 gene_AT3G18310 transcript_AT3G18310.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_TATA box-binding protein associated factor RNA polymerase I subunit C [Source_UniProtKB/TrEMBL;Acc_Q9LS59]	
OG0007625	AT4G16955.1 pep chromosome_TAIR10_4_9539931_9540961_1 gene_AT4G16955 transcript_AT4G16955.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0007626	AT5G41908.1 pep chromosome_TAIR10_5_16777055_16777525_1 gene_AT5G41908 transcript_AT5G41908.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; LOCATED IN_ endomembrane system; Ha. [Source_TAIR;Acc_AT5G41908]	
OG0007627	AT2G21390.1 pep chromosome_TAIR10_2_9151940_9156906_1 gene_AT2G21390 transcript_AT2G21390.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Coatomer subunit alpha-2 [Source_UniProtKB/Swiss-Prot;Acc_Q9SJT9]	
OG0007628	AT3G03305.1 pep chromosome_TAIR10_3_775368_778396_-1 gene_AT3G03305 transcript_AT3G03305.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative metallophosphoesterase At3g03305 [Source_UniProtKB/Swiss-Prot;Acc_Q0WVZ1]	
OG0007629	AT4G08039.1 pep chromosome_TAIR10_4_4884848_4886035_-1 gene_AT4G08039 transcript_AT4G08039.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative defensin-like protein 312 [Source_UniProtKB/Swiss-Prot;Acc_Q2V3K9]	
OG0007630	AT1G10225.1 pep chromosome_TAIR10_1_3354243_3354856_1 gene_AT1G10225 transcript_AT1G10225.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Transmembrane protein [Source_UniProtKB/TrEMBL;Acc_Q56YG0]	
OG0007631	AT3G49770.1 pep chromosome_TAIR10_3_18460890_18461876_-1 gene_AT3G49770 transcript_AT3G49770.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative uncharacterized protein [Source_UniProtKB/TrEMBL;Acc_Q5Q0C6]	
OG0007632	AT5G15420.1 pep chromosome_TAIR10_5_5007826_5008964_-1 gene_AT5G15420 transcript_AT5G15420.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Uncharacterized protein T20K14_30 [Source_UniProtKB/TrEMBL;Acc_Q9LF40]	
OG0007633	AT3G15251.1 pep chromosome_TAIR10_3_5137205_5137318_1 gene_AT3G15251 transcript_AT3G15251.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT3G15251]	
OG0007634	AT1G05430.1 pep chromosome_TAIR10_1_1594053_1595923_-1 gene_AT1G05430 transcript_AT1G05430.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Uncharacterized protein At1g05430 [Source_UniProtKB/TrEMBL;Acc_Q8LC42]	
OG0007635	AT5G29054.1 pep chromosome_TAIR10_5_11116913_11117014_-1 gene_AT5G29054 transcript_AT5G29054.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT5G29054]	
OG0007636	AT4G26240.1 pep chromosome_TAIR10_4_13286481_13289057_-1 gene_AT4G26240 transcript_AT4G26240.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone-lysine N-methyltransferase [Source_UniProtKB/TrEMBL;Acc_Q8RXC0]	
OG0007637	AT2G22320.1 pep chromosome_TAIR10_2_9480105_9480440_1 gene_AT2G22320 transcript_AT2G22320.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Uncharacterized protein At2g22320 [Source_UniProtKB/TrEMBL;Acc_Q9SID6]	
OG0007638	AT1G26760.1 pep chromosome_TAIR10_1_9248152_9249943_-1 gene_AT1G26760 transcript_AT1G26760.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ATXR1 description_SET domain protein 35 [Source_UniProtKB/TrEMBL;Acc_F4HPB8]	
OG0007639	AT5G51680.1 pep chromosome_TAIR10_5_20997320_20998907_1 gene_AT5G51680 transcript_AT5G51680.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Hydroxyproline-rich glycoprotein family protein [Source_UniProtKB/TrEMBL;Acc_F4KDC4]	
