Orthogroup	Arabidopsis_thaliana.TAIR10.pep.all	Mus_musculus-Cilia_proteome	Total
OG0000000	221	0	221
OG0000001	123	0	123
OG0000002	116	0	116
OG0000003	93	0	93
OG0000004	91	0	91
OG0000005	89	0	89
OG0000006	86	0	86
OG0000007	85	0	85
OG0000008	82	0	82
OG0000009	82	0	82
OG0000010	77	0	77
OG0000011	75	0	75
OG0000012	74	0	74
OG0000013	73	0	73
OG0000014	72	0	72
OG0000015	70	0	70
OG0000016	68	0	68
OG0000017	66	0	66
OG0000018	65	0	65
OG0000019	64	0	64
OG0000020	64	0	64
OG0000021	64	0	64
OG0000022	63	0	63
OG0000023	61	0	61
OG0000024	60	0	60
OG0000025	59	0	59
OG0000026	58	0	58
OG0000027	58	0	58
OG0000028	58	0	58
OG0000029	58	0	58
OG0000030	54	0	54
OG0000031	54	0	54
OG0000032	52	0	52
OG0000033	52	0	52
OG0000034	52	0	52
OG0000035	51	0	51
OG0000036	51	0	51
OG0000037	51	0	51
OG0000038	51	0	51
OG0000039	50	0	50
OG0000040	50	0	50
OG0000041	50	0	50
OG0000042	50	0	50
OG0000043	49	0	49
OG0000044	49	0	49
OG0000045	49	0	49
OG0000046	49	0	49
OG0000047	48	0	48
OG0000048	48	0	48
OG0000049	48	0	48
OG0000050	48	0	48
OG0000051	47	0	47
OG0000052	47	0	47
OG0000053	47	0	47
OG0000054	47	0	47
OG0000055	47	0	47
OG0000056	45	1	46
OG0000057	46	0	46
OG0000058	44	0	44
OG0000059	44	0	44
OG0000060	44	0	44
OG0000061	44	0	44
OG0000062	44	0	44
OG0000063	44	0	44
OG0000064	44	0	44
OG0000065	43	0	43
OG0000066	43	0	43
OG0000067	43	0	43
OG0000068	43	0	43
OG0000069	43	0	43
OG0000070	43	0	43
OG0000071	42	0	42
OG0000072	42	0	42
OG0000073	41	0	41
OG0000074	41	0	41
OG0000075	41	0	41
OG0000076	41	0	41
OG0000077	40	0	40
OG0000078	40	0	40
OG0000079	40	0	40
OG0000080	39	1	40
OG0000081	40	0	40
OG0000082	40	0	40
OG0000083	40	0	40
OG0000084	40	0	40
OG0000085	39	0	39
OG0000086	39	0	39
OG0000087	39	0	39
OG0000088	39	0	39
OG0000089	39	0	39
OG0000090	39	0	39
OG0000091	38	1	39
OG0000092	39	0	39
OG0000093	39	0	39
OG0000094	39	0	39
OG0000095	39	0	39
OG0000096	38	0	38
OG0000097	37	1	38
OG0000098	38	0	38
OG0000099	38	0	38
OG0000100	38	0	38
OG0000101	38	0	38
OG0000102	37	0	37
OG0000103	37	0	37
OG0000104	37	0	37
OG0000105	37	0	37
OG0000106	37	0	37
OG0000107	37	0	37
OG0000108	36	0	36
OG0000109	36	0	36
OG0000110	36	0	36
OG0000111	36	0	36
OG0000112	36	0	36
OG0000113	36	0	36
OG0000114	36	0	36
OG0000115	36	0	36
OG0000116	36	0	36
OG0000117	35	0	35
OG0000118	35	0	35
OG0000119	35	0	35
OG0000120	35	0	35
OG0000121	35	0	35
OG0000122	35	0	35
OG0000123	35	0	35
OG0000124	35	0	35
OG0000125	35	0	35
OG0000126	35	0	35
OG0000127	35	0	35
OG0000128	34	0	34
OG0000129	34	0	34
OG0000130	34	0	34
OG0000131	34	0	34
OG0000132	34	0	34
OG0000133	34	0	34
OG0000134	34	0	34
OG0000135	34	0	34
OG0000136	34	0	34
OG0000137	34	0	34
OG0000138	33	0	33
OG0000139	33	0	33
OG0000140	33	0	33
OG0000141	33	0	33
OG0000142	33	0	33
OG0000143	33	0	33
OG0000144	33	0	33
OG0000145	33	0	33
OG0000146	33	0	33
OG0000147	33	0	33
OG0000148	33	0	33
OG0000149	33	0	33
OG0000150	32	0	32
OG0000151	32	0	32
OG0000152	32	0	32
OG0000153	32	0	32
OG0000154	32	0	32
OG0000155	32	0	32
OG0000156	32	0	32
OG0000157	32	0	32
OG0000158	32	0	32
OG0000159	32	0	32
OG0000160	32	0	32
OG0000161	32	0	32
OG0000162	32	0	32
OG0000163	32	0	32
OG0000164	31	0	31
OG0000165	31	0	31
OG0000166	31	0	31
OG0000167	31	0	31
OG0000168	31	0	31
OG0000169	31	0	31
OG0000170	30	1	31
OG0000171	31	0	31
OG0000172	30	0	30
OG0000173	30	0	30
OG0000174	30	0	30
OG0000175	30	0	30
OG0000176	30	0	30
OG0000177	30	0	30
OG0000178	30	0	30
OG0000179	30	0	30
OG0000180	30	0	30
OG0000181	30	0	30
OG0000182	30	0	30
OG0000183	30	0	30
OG0000184	30	0	30
OG0000185	30	0	30
OG0000186	30	0	30
OG0000187	30	0	30
OG0000188	30	0	30
OG0000189	30	0	30
OG0000190	29	0	29
OG0000191	29	0	29
OG0000192	29	0	29
OG0000193	29	0	29
OG0000194	29	0	29
OG0000195	29	0	29
OG0000196	29	0	29
OG0000197	29	0	29
OG0000198	29	0	29
OG0000199	28	1	29
OG0000200	28	0	28
OG0000201	28	0	28
OG0000202	28	0	28
OG0000203	28	0	28
OG0000204	28	0	28
OG0000205	28	0	28
OG0000206	28	0	28
OG0000207	28	0	28
OG0000208	28	0	28
OG0000209	28	0	28
OG0000210	28	0	28
OG0000211	28	0	28
OG0000212	28	0	28
OG0000213	28	0	28
OG0000214	27	0	27
OG0000215	27	0	27
OG0000216	27	0	27
OG0000217	27	0	27
OG0000218	27	0	27
OG0000219	27	0	27
OG0000220	27	0	27
OG0000221	27	0	27
OG0000222	27	0	27
OG0000223	25	2	27
OG0000224	27	0	27
OG0000225	27	0	27
OG0000226	27	0	27
OG0000227	27	0	27
OG0000228	27	0	27
OG0000229	27	0	27
OG0000230	27	0	27
